Data_Referencia,Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,AEB,Valor,SEXE,EDAT_1
2021-01-01,1,Ciutat Vella,1,el Raval,1,18,1,45
2021-01-01,1,Ciutat Vella,1,el Raval,1,19,1,46
2021-01-01,1,Ciutat Vella,1,el Raval,1,20,1,47
2021-01-01,1,Ciutat Vella,1,el Raval,1,13,1,48
2021-01-01,1,Ciutat Vella,1,el Raval,1,10,1,49
2021-01-01,1,Ciutat Vella,1,el Raval,1,23,1,50
2021-01-01,1,Ciutat Vella,1,el Raval,1,15,1,51
2021-01-01,1,Ciutat Vella,1,el Raval,1,16,1,52
2021-01-01,1,Ciutat Vella,1,el Raval,1,13,1,53
2021-01-01,1,Ciutat Vella,1,el Raval,1,15,1,54
2021-01-01,1,Ciutat Vella,1,el Raval,1,13,1,55
2021-01-01,1,Ciutat Vella,1,el Raval,1,14,1,56
2021-01-01,1,Ciutat Vella,1,el Raval,1,11,1,57
2021-01-01,1,Ciutat Vella,1,el Raval,1,13,1,58
2021-01-01,1,Ciutat Vella,1,el Raval,1,10,1,59
2021-01-01,1,Ciutat Vella,1,el Raval,1,6,1,60
2021-01-01,1,Ciutat Vella,1,el Raval,1,10,1,61
2021-01-01,1,Ciutat Vella,1,el Raval,1,6,1,62
2021-01-01,1,Ciutat Vella,1,el Raval,1,9,1,63
2021-01-01,1,Ciutat Vella,1,el Raval,1,..,1,64
2021-01-01,1,Ciutat Vella,1,el Raval,1,10,1,65
2021-01-01,1,Ciutat Vella,1,el Raval,1,11,1,66
2021-01-01,1,Ciutat Vella,1,el Raval,1,10,1,67
2021-01-01,1,Ciutat Vella,1,el Raval,1,9,1,68
2021-01-01,1,Ciutat Vella,1,el Raval,1,7,1,69
2021-01-01,1,Ciutat Vella,1,el Raval,1,8,1,70
2021-01-01,1,Ciutat Vella,1,el Raval,1,8,1,71
2021-01-01,1,Ciutat Vella,1,el Raval,1,9,1,72
2021-01-01,1,Ciutat Vella,1,el Raval,1,6,1,73
2021-01-01,1,Ciutat Vella,1,el Raval,1,9,1,74
2021-01-01,1,Ciutat Vella,1,el Raval,1,7,1,75
2021-01-01,1,Ciutat Vella,1,el Raval,1,8,1,76
2021-01-01,1,Ciutat Vella,1,el Raval,1,7,1,77
2021-01-01,1,Ciutat Vella,1,el Raval,1,..,1,78
2021-01-01,1,Ciutat Vella,1,el Raval,1,10,1,79
2021-01-01,1,Ciutat Vella,1,el Raval,1,9,1,80
2021-01-01,1,Ciutat Vella,1,el Raval,1,5,1,81
2021-01-01,1,Ciutat Vella,1,el Raval,1,9,1,82
2021-01-01,1,Ciutat Vella,1,el Raval,1,8,1,83
2021-01-01,1,Ciutat Vella,1,el Raval,1,8,1,84
2021-01-01,1,Ciutat Vella,1,el Raval,1,8,1,85
2021-01-01,1,Ciutat Vella,1,el Raval,1,6,1,86
2021-01-01,1,Ciutat Vella,1,el Raval,1,7,1,87
