Any,Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,Seccio_Censal,Distribucio_P80_20,Index_Gini,Import_Renda_Disponible,Import_Renda_Bruta,Import_Renda_Neta,Edat_Mitjana
2020,3,Sants-Montjuïc,16,la Bordeta,67,2.7,30.3,18551.72,18768,15312,44.375209647791706
2020,3,Sants-Montjuïc,16,la Bordeta,68,2.6,29.7,16706.76,16596,13914,44.375209647791706
2020,3,Sants-Montjuïc,16,la Bordeta,69,2.7,29.3,19821.21,20205,16369,44.375209647791706
2020,3,Sants-Montjuïc,18,Sants,86,2.5,28.6,24413.29,25588,20214,45.69466745542128
2020,3,Sants-Montjuïc,18,Sants,87,2.9,32.3,22175.52,22718,18079,45.69466745542128
2020,3,Sants-Montjuïc,18,Sants,88,2.7,30.2,19678.31,19807,16114,45.69466745542128
2020,3,Sants-Montjuïc,18,Sants,89,2.2,26.9,21505.87,21718,17584,45.69466745542128
2020,3,Sants-Montjuïc,18,Sants,90,2.6,31.9,24845.0,26064,20105,45.69466745542128
2020,3,Sants-Montjuïc,18,Sants,91,3.6,35.8,20894.03,21065,16770,45.69466745542128
2020,3,Sants-Montjuïc,18,Sants,92,3.1,34.8,21523.76,21680,17305,45.69466745542128
2020,3,Sants-Montjuïc,18,Sants,93,2.9,31.1,21042.84,21669,17251,45.69466745542128
2020,3,Sants-Montjuïc,18,Sants,94,2.5,29.7,21754.49,21818,17578,45.69466745542128
2020,3,Sants-Montjuïc,18,Sants,95,3.0,32.7,19649.31,19654,15878,41.93895582329317
2020,3,Sants-Montjuïc,18,Sants,96,3.7,36.2,18314.67,18191,14786,41.93895582329317
2020,3,Sants-Montjuïc,18,Sants,97,3.1,33.8,14409.51,14077,11738,41.93895582329317
2020,3,Sants-Montjuïc,18,Sants,98,3.0,33.6,16607.06,16375,13507,41.93895582329317
2020,3,Sants-Montjuïc,18,Sants,99,2.8,33.5,19195.76,18998,15416,41.93895582329317
2020,3,Sants-Montjuïc,18,Sants,100,3.1,33.7,18910.58,18975,15334,41.93895582329317
2020,3,Sants-Montjuïc,18,Sants,101,2.6,30.2,19180.13,18802,15465,41.31681681681682
2020,3,Sants-Montjuïc,18,Sants,102,2.9,32.5,19568.49,19721,15864,41.31681681681682
2020,3,Sants-Montjuïc,18,Sants,103,2.8,29.3,18599.1,18797,15531,41.31681681681682
2020,3,Sants-Montjuïc,18,Sants,104,3.3,33.3,18214.91,18039,14720,41.31681681681682
2020,3,Sants-Montjuïc,18,Sants,105,2.7,29.3,18242.15,18070,14761,41.4837346852556
2020,3,Sants-Montjuïc,18,Sants,106,3.5,34.3,19641.51,19546,15748,41.4837346852556
2020,3,Sants-Montjuïc,18,Sants,107,2.9,31.3,20741.88,20809,16861,44.339029768467476
2020,3,Sants-Montjuïc,18,Sants,108,3.2,34.2,18981.05,18727,15262,44.339029768467476
2020,3,Sants-Montjuïc,18,Sants,109,3.1,32.1,20290.97,20162,16256,44.339029768467476
2020,3,Sants-Montjuïc,18,Sants,110,3.1,32.8,21525.89,21441,17156,44.339029768467476
2020,3,Sants-Montjuïc,18,Sants,111,2.7,30.1,20681.72,20853,16701,44.339029768467476
2020,3,Sants-Montjuïc,18,Sants,112,2.8,31.7,23330.0,23933,18907,44.339029768467476
2020,3,Sants-Montjuïc,18,Sants,113,3.3,35.0,25577.65,26949,20802,44.339029768467476
2020,3,Sants-Montjuïc,18,Sants,114,2.9,32.3,23649.66,24717,19160,44.339029768467476
2020,3,Sants-Montjuïc,13,la Marina de Port,211,2.7,29.3,16900.16,16564,13809,
2020,3,Sants-Montjuïc,13,la Marina de Port,212,2.6,30.3,15569.79,15302,13026,
2020,3,Sants-Montjuïc,13,la Marina de Port,213,2.8,30.9,12625.58,12272,10532,
2020,4,Les Corts,19,les Corts,1,3.4,34.9,22738.85,23541,18429,45.62733864470504
2020,4,Les Corts,19,les Corts,2,2.8,32.3,26539.97,27763,21390,45.62733864470504
2020,4,Les Corts,19,les Corts,3,2.5,31.6,24388.3,25202,19994,45.62733864470504
2020,4,Les Corts,19,les Corts,4,2.9,32.4,24153.66,24863,19758,45.62733864470504
2020,4,Les Corts,19,les Corts,5,2.6,32.6,22803.98,23426,18623,45.62733864470504
2020,4,Les Corts,19,les Corts,6,2.9,32.2,24129.89,25133,19584,45.62733864470504
2020,4,Les Corts,19,les Corts,7,3.1,35.5,19889.13,20297,16249,45.62733864470504
2020,4,Les Corts,19,les Corts,8,2.9,32.7,21430.15,21483,17332,45.62733864470504
2020,4,Les Corts,19,les Corts,9,2.9,33.7,24083.43,24982,19462,45.62733864470504
2020,4,Les Corts,19,les Corts,10,2.6,31.4,27267.73,29128,22093,46.50419710018533
2020,4,Les Corts,19,les Corts,11,2.6,30.5,27010.36,29093,22074,46.50419710018533
2020,4,Les Corts,19,les Corts,12,2.3,28.4,26444.75,27449,21480,46.50419710018533
2020,4,Les Corts,19,les Corts,13,2.7,31.6,27218.47,28486,21831,46.50419710018533
2020,4,Les Corts,19,les Corts,14,4.0,43.1,30141.59,31388,23524,46.50419710018533
2020,4,Les Corts,19,les Corts,15,2.5,29.9,25868.45,26765,20882,46.50419710018533
2020,4,Les Corts,19,les Corts,16,2.8,32.9,27205.41,28582,21964,46.50419710018533
2020,4,Les Corts,19,les Corts,17,3.1,33.8,26387.34,28613,21295,45.61155836687752
2020,4,Les Corts,19,les Corts,18,3.0,33.9,28616.23,29235,22595,45.61155836687752
2020,4,Les Corts,19,les Corts,19,3.0,39.8,34430.9,36168,26427,45.61155836687752
2020,4,Les Corts,19,les Corts,20,3.4,37.1,28269.11,29350,22266,45.61155836687752
2020,4,Les Corts,19,les Corts,21,3.3,37.3,32957.59,34968,25747,45.61155836687752
2020,4,Les Corts,19,les Corts,22,3.1,34.5,28362.84,29184,22512,44.3466317854807
2020,4,Les Corts,19,les Corts,23,3.1,39.5,40895.31,45312,31670,45.30885214007782
2020,4,Les Corts,19,les Corts,24,2.7,34.4,40435.24,45312,31580,45.30885214007782
2020,4,Les Corts,19,les Corts,25,3.1,33.0,24822.71,25581,19738,44.49046979865772
2020,4,Les Corts,19,les Corts,26,2.9,32.2,25395.88,27201,20505,44.49046979865772
2020,4,Les Corts,19,les Corts,27,3.0,37.0,28043.0,29319,22168,44.49046979865772
2020,4,Les Corts,19,les Corts,28,2.5,30.0,25656.73,26523,20689,47.271812865497076
2020,4,Les Corts,19,les Corts,29,2.8,33.4,30866.7,33032,24881,47.271812865497076
2020,4,Les Corts,19,les Corts,30,2.8,32.1,27526.32,28544,22022,47.271812865497076
2020,4,Les Corts,19,les Corts,31,2.9,35.0,23560.32,24049,18968,46.04198574069184
2020,4,Les Corts,19,les Corts,32,2.5,29.0,23133.31,23803,18885,46.04198574069184
2020,4,Les Corts,19,les Corts,33,2.6,31.2,23784.74,24195,19265,46.04198574069184
2020,4,Les Corts,19,les Corts,34,2.3,27.8,28960.71,31241,23473,46.04198574069184
2020,4,Les Corts,19,les Corts,35,2.5,28.9,27345.86,28642,22154,46.04198574069184
2020,4,Les Corts,20,la Maternitat i Sant Ramon,36,2.8,33.4,21331.93,21772,17215,45.5515862194346
2020,4,Les Corts,20,la Maternitat i Sant Ramon,37,2.7,31.1,23527.12,24370,19257,45.5515862194346
2020,4,Les Corts,20,la Maternitat i Sant Ramon,38,2.7,30.5,23394.93,24139,19122,45.5515862194346
